2020-09-08 13:13:47.473745
6210545971 6210545416 {'+': 274, '-': 319, ' ': 65, '?': 154} 0.13
6210545971 6210545521 {'+': 279, '-': 343, ' ': 41, '?': 129} 0.01
6210545971 6210545530 {'+': 457, '-': 346, ' ': 38, '?': 103} 0.1
6210545971 6210545572 {'+': 311, '-': 332, ' ': 52, '?': 157} 0.09
6210545971 6210545963 {'+': 287, '-': 325, ' ': 59, '?': 103} 0.12
6210545971 6210546021 {'+': 298, '-': 339, ' ': 45, '?': 130} 0.11
6210545971 6210546391 {'+': 288, '-': 349, ' ': 35, '?': 129} 0.1
6210545971 6210546676 {'+': 392, '-': 325, ' ': 59, '?': 175} 0.13
6210545971 6010545749 {'+': 304, '-': 329, ' ': 55, '?': 99} 0.05
6210545998 6210546030 {'+': 375, '-': 343, ' ': 41, '?': 77} 0.04
6210545998 6210546684 {'+': 308, '-': 339, ' ': 45, '?': 66} 0.04
6210545998 6210545599 {'+': 307, '-': 352, ' ': 32, '?': 80} 0.04
6210545998 6210545947 {'+': 293, '-': 355, ' ': 29, '?': 101} 0.04
6210545998 6210545980 {'+': 279, '-': 351, ' ': 33, '?': 92} 0.07
6210545998 6210546005 {'+': 376, '-': 365, ' ': 19, '?': 105} 0.08
6210545998 6210546382 {'+': 388, '-': 350, ' ': 34, '?': 95} 0.11
6210545998 6210545581 {'+': 318, '-': 357, ' ': 27, '?': 66} 0.08
6210545998 6110545481 {'+': 304, '-': 364, ' ': 20, '?': 55} 0.04
6210545998 6210545441 {'+': 330, '-': 348, ' ': 36, '?': 70} 0.04
6210545998 6210545611 {'+': 487, '-': 357, ' ': 27, '?': 102} 0.06
6210545998 6210545700 {'+': 391, '-': 344, ' ': 40, '?': 57} 0.07
6210545998 6210545955 {'+': 230, '-': 361, ' ': 23, '?': 56} 0.05
6210545998 6210545505 {'+': 359, '-': 375, ' ': 9, '?': 7} 0.03
6210545998 6210545548 {'+': 378, '-': 378, ' ': 6, '?': 34} 0.11
6210545998 6210546714 {'+': 380, '-': 373, ' ': 11, '?': 20} 0.09
6210545998 6210545602 {'+': 307, '-': 321, ' ': 63, '?': 181} 0.1
6210545998 6210546048 {'+': 282, '-': 355, ' ': 29, '?': 95} 0.06
6210545998 6210545513 {'+': 323, '-': 360, ' ': 24, '?': 75} 0.07
6210545998 6010546621 {'+': 293, '-': 350, ' ': 34, '?': 82} 0.02
6210545998 6210545459 {'+': 344, '-': 358, ' ': 26, '?': 88} 0.06
6210545998 6210545467 {'+': 344, '-': 344, ' ': 40, '?': 84} 0.04
6210545998 6210545475 {'+': 428, '-': 349, ' ': 35, '?': 62} 0.08
6210545998 6210545564 {'+': 415, '-': 337, ' ': 47, '?': 56} 0.05
6210545998 6210546013 {'+': 331, '-': 354, ' ': 30, '?': 109} 0.03
6210545998 6210546412 {'+': 300, '-': 369, ' ': 15, '?': 49} 0.07
6210545998 6210546439 {'+': 267, '-': 346, ' ': 38, '?': 68} 0.06
6210545998 6210546447 {'+': 326, '-': 352, ' ': 32, '?': 101} 0.06
6210545998 6210546455 {'+': 346, '-': 369, ' ': 15, '?': 38} 0.08
6210545998 6210546650 {'+': 371, '-': 365, ' ': 19, '?': 78} 0.04
6210545998 6210546706 {'+': 331, '-': 355, ' ': 29, '?': 91} 0.1
6210545998 6210545483 {'+': 404, '-': 351, ' ': 33, '?': 69} 0.05
6210545998 6210545491 {'+': 370, '-': 359, ' ': 25, '?': 87} 0.06
6210545998 6210546668 {'+': 306, '-': 350, ' ': 34, '?': 79} 0.06
6210545998 6210546374 {'+': 354, '-': 362, ' ': 22, '?': 81} 0.06
6210545998 6210545432 {'+': 300, '-': 351, ' ': 33, '?': 89} 0.12
6210545998 6110545996 {'+': 366, '-': 360, ' ': 24, '?': 80} 0.06
6210545998 6210545424 {'+': 337, '-': 363, ' ': 21, '?': 102} 0.05
6210545998 6210545556 {'+': 294, '-': 321, ' ': 63, '?': 116} 0.06
6210545998 6210546404 {'+': 360, '-': 344, ' ': 40, '?': 99} 0.05
6210545998 6210546421 {'+': 400, '-': 351, ' ': 33, '?': 119} 0.06
6210545998 6210546692 {'+': 348, '-': 349, ' ': 35, '?': 79} 0.04
6210545998 6110545601 {'+': 304, '-': 361, ' ': 23, '?': 51} 0.06
6210545998 6210545416 {'+': 323, '-': 368, ' ': 16, '?': 45} 0.09
6210545998 6210545521 {'+': 297, '-': 361, ' ': 23, '?': 72} 0.08
6210545998 6210545530 {'+': 480, '-': 369, ' ': 15, '?': 57} 0.04
6210545998 6210545572 {'+': 339, '-': 360, ' ': 24, '?': 112} 0.05
6210545998 6210545963 {'+': 319, '-': 357, ' ': 27, '?': 88} 0.09
6210545998 6210546021 {'+': 324, '-': 365, ' ': 19, '?': 69} 0.1
6210545998 6210546391 {'+': 278, '-': 339, ' ': 45, '?': 70} 0.07
6210545998 6210546676 {'+': 397, '-': 330, ' ': 54, '?': 81} 0.07
6210545998 6010545749 {'+': 327, '-': 352, ' ': 32, '?': 48} 0.04
6210546030 6210546684 {'+': 327, '-': 390, ' ': 26, '?': 102} 0.04
6210546030 6210545599 {'+': 303, '-': 380, ' ': 36, '?': 77} 0.05
6210546030 6210545947 {'+': 296, '-': 390, ' ': 26, '?': 81} 0.02
6210546030 6210545980 {'+': 292, '-': 396, ' ': 20, '?': 78} 0.02
6210546030 6210546005 {'+': 350, '-': 371, ' ': 45, '?': 73} 0.13
6210546030 6210546382 {'+': 381, '-': 375, ' ': 41, '?': 83} 0.09
6210546030 6210545581 {'+': 303, '-': 374, ' ': 42, '?': 109} 0.04
